full_name;stars;age_years;releases_count;primary_language;forks_count;open_issues_count;created_at;updated_at
981011512/--;4685;5.76;0;Java;2255;32;2020-06-18T22:47:21Z;2026-03-21T19:47:18Z
bepass-org/oblivion;4682;2.12;12;Java;631;206;2024-02-08T05:50:09Z;2026-03-19T12:56:16Z
Heeexy/SpringBoot-Shiro-Vue;4676;8.34;0;Java;1769;7;2017-11-17T18:49:06Z;2026-03-19T23:30:54Z
karma9874/AndroRAT;4658;6.0;0;Java;1509;16;2020-03-22T09:31:28Z;2026-03-22T14:01:07Z
JZ-Darkal/AndroidHttpCapture;4651;9.43;1;Java;863;42;2016-10-15T19:48:00Z;2026-03-22T17:57:42Z
ant-media/Ant-Media-Server;4650;9.06;68;Java;682;1380;2017-03-01T08:21:13Z;2026-03-22T07:18:21Z
discord-jda/JDA;4645;10.28;121;Java;762;60;2015-12-12T13:57:32Z;2026-03-22T18:13:47Z
wdullaer/MaterialDateTimePicker;4643;11.21;54;Java;936;110;2015-01-03T19:41:03Z;2026-03-19T08:26:28Z
rememberber/WePush;4641;8.74;58;Java;1015;34;2017-06-23T09:03:36Z;2026-03-22T06:53:02Z
CalebFenton/simplify;4638;12.18;9;Java;454;32;2014-01-16T05:14:02Z;2026-03-22T00:16:29Z
chewiebug/GCViewer;4634;14.41;5;Java;995;84;2011-10-23T09:01:04Z;2026-03-22T15:52:42Z
zongzibinbin/MallChat;4634;3.02;0;Java;1025;53;2023-03-16T15:04:35Z;2026-03-22T09:21:37Z
romandanylyk/PageIndicatorView;4634;9.59;14;Java;568;57;2016-08-20T19:25:32Z;2026-03-18T12:26:53Z
gabrielemariotti/cardslib;4632;12.5;27;Java;1177;183;2013-09-20T21:57:19Z;2026-03-20T04:59:18Z
yasserg/crawler4j;4629;14.22;3;Java;1910;188;2011-12-31T22:49:18Z;2026-03-20T17:40:20Z
linhaojun857/aurora;4625;3.59;0;Java;736;20;2022-08-19T13:39:16Z;2026-03-22T14:14:11Z
RedSpider1/concurrent;4621;7.38;0;Java;616;13;2018-11-03T13:49:36Z;2026-03-20T01:18:41Z
